name,url,description,employee-number,enabled,partnerships,products,people,founded,segments
Psych Central,www.psychcentral.com,"Psych Central is an independent mental health social network.  It also provides Mental health information, content and community.",,true,,,"undergrad-edu: 
last-name: Grohol
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO & Publisher
first-name: Dr. John
email: 

undergrad-edu: 
last-name: Grohol
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO & Publisher
first-name: Dr. John
email: 
",,"Patient/Consumer Communities, Content, "
CalorieKing,www.calorieking.com,"CalorieKing combines online diets, coaching and community for the treatment of obesity, and integrates them into systems that make possible the kind of healthcare team collaboration necessary to successfully treat a chronic recurring disease with multiple co-morbidities.",,true,,,"undergrad-edu: 
last-name: McGuinness
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 

undergrad-edu: 
last-name: McGuinness
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Keith
email: 
",,"Patient/Consumer Communities, Content, Self Management tools , Coaching and Advisory Services, "
FacetoFace Health,facetofacehealth.com,FacetoFace Health is a health community for connecting one-on-one with others who share similar health experiences. ,,true,,,"undergrad-edu: 
last-name: Outlaw
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President/CEO
first-name: Nowell
email: 

undergrad-edu: 
last-name: Outlaw
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President/CEO
first-name: Nowell
email: 

undergrad-edu: 
last-name: OUTLAW
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: PRESIDENT
first-name: NOWELL
email: 
",,"Patient/Consumer Communities, "
Experience Project,experienceproject.com,"Experience Project allows users to anonymously connect about any life topic that matters to them and get support from peers. Health topics are the basis for our main communities (depression, sexual health, anxiety, diabetes, cancer, etc. are all large and active communities), but we also enable users to share more about their lives to be able to get a fuller emotional and psychological support.We reach nearly 2 million people every month, making us larger than most other health social sites.",,true,,,"undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Business Development
first-name: Julio
email: 

undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Business Development
first-name: Julio
email: 

undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Business Development
first-name: Julio
email: 

undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP
first-name: Julio
email: 

undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Business Development
first-name: Julio
email: 

undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP
first-name: Julio
email: 

undergrad-edu: 
last-name: Vasconcellos
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Business Development
first-name: Julio
email: 
",,"Patient/Consumer Communities, Content, "
WeAre.Us,weare.us,"WeAre.Us creates Social Support Networks, empowering patient communities to take control of their condition and their lives by providing knowledge, resources, and tools in a place of paramount relevancy.",,true,,,"undergrad-edu: 
last-name: Doogan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder and President
first-name: Declan 
email: 
",,"Patient/Consumer Communities, "
RareShare,www.rareshare.org,"The RareShare website currently hosts over 800 communities, each dedicated to a specific rare disease. Each community on the RareShare network is designed for people to share personal experiences, explore treatment options and find support among others affected by the same, or similar, rare disorder. ",,true,,,"undergrad-edu: 
last-name: Steele
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Eric
email: 

undergrad-edu: 
last-name: Steele
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Eric
email: 
",,"Patient/Consumer Communities, "
HealthyWage,www.healthywage.com,HealthyWage is a provider of health and wellness incentive programs for corporations to reward employees who make healthy choices.,,true,,,"undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 

undergrad-edu: 
last-name: Roddenberry
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-Founder
first-name: David
email: 
",," Financial management , Wellness, Patient/Consumer Communities, Search, Content, Provider Search, Gaming, "
CaringBridge,www.caringbridge.org,"CaringBridge is a non-profit providing free private websites for people facing a serious health event, care and recovery. usually marketed through hospitals.",,true,,,"undergrad-edu: 
last-name: Stadelman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Mehring
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder, Executive Director
first-name: Sona
email: 

undergrad-edu: 
last-name: Holm
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Media Relations Specialist
first-name: Melissa
email: 

undergrad-edu: 
last-name: Stadelman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director of Marketing
first-name: Mike
email: 

undergrad-edu: 
last-name: Mehring
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and Executive Director
first-name: Sona
email: 

undergrad-edu: 
last-name: Holm
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Media Relations Specialist
first-name: Melissa
email: 
",,"Patient/Consumer Communities, "
Kinnexxus,www.kinnexxus.com,"Kinnexxus is a web-based service providing an easy-to-use communication and networking platform that creates a robust family support network, connecting seniors, friends and family, professional care providers, and the community in a secure, virtual Senior Ecosystem™",,true,,,"undergrad-edu: 
last-name: Dara-Abrams
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Chief Gerontechnology Officer
first-name: Benay
email: 

undergrad-edu: 
last-name: Pan
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Medical Officer
first-name: Wayne
email: 

undergrad-edu: 
last-name: Dara-Abrams
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Chief Gerontechnology Officer
first-name: Benay
email: 
",,"Patient/Consumer Communities, Coaching and Advisory Services, "
Lybba,www.lybba.org,"Lybba is a non-profit organization that uses research, design, technology, and media to drive change in health care.  The group has 3 areas of focus:  1) Translational research, 2) Patient empowerment, and 3) Clinical improvement. Lybba was founded by filmaker Jesse Dylan (yes, he......s Bob's son).",,true,,,"undergrad-edu: 
last-name: McGovern
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief of Staff
first-name: Patrick
email: 

undergrad-edu: 
last-name: McGovern
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief of Staff
first-name: Patrick
email: 

undergrad-edu: 
last-name: Fore
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Director
first-name: David
email: 
",,"Patient/Consumer Communities, Content, Stealth/Not Launched, "
Association Vivre sans Thyroide,www.forum-thyroide.net,"Association for thyroid patients, in French language. Based in France, but open to patients all over the world, the association provides information(e.g., articles, documents, guidelines) and hosts a web forum with 9400 registered users, 3500 views and 100 messages per day, run by patients on a volunteer basis. The association also organizes patient information events. ",,true,,,"undergrad-edu: 
last-name: Bart
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mrs
first-name: Beate
email: 

undergrad-edu: 
last-name: Bartès
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Mrs
first-name: Beate
email: 
",,"Patient/Consumer Communities, "
GiveForward,www.giveforward.org,"GiveForward provides personal fundraising pages to raise money for loved ones' medical expenses like cancer treatments and organ transplants.    Basically, we make it VERY easy for people from all around the world to contribute online to their friends and family members' health.  Here is an example of a recent page that raised over $80,000 for a cancer treatment in just over 3 weeks time.  http:www.giveforward.org/johan  Here are some user testimonials from our users  http:www.giveforward.org/blog/testimonials-from-some-of-our-loving-users  The Chicago Tribune has called us ""the future of medical fundraising in the Internet Age.""  In little over a year, we have helped people raise $1,000,000 to pay for life-saving medical procedures and cancer treatments. I lost my dad to colon cancer when I was 13.  It's something I have been passionate ever since.   I run marathons in a banana costume to fight cancer.    http:www.youthnoise.com/playcity/blog/view/19384  I failed the CA bar the first time I took it.  For a year, I was the top rated author at a humor website called Guidespot  http:www.guidespot.com/authors/elguapo  I am a burrito eating champion.  My favorite ""sporting event"" in the world is Bay to Breakers.  I'm deathly afraid of pigeons.  I would be a super-interesting speaker at your event ",,false,,,"undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and 2nd Banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: co-founder and second banana
first-name: Ethan
email: 

undergrad-edu: 
last-name: Austin
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and 2nd Banana
first-name: Ethan
email: 
",,"Patient/Consumer Communities, Search,  Financial management , "
Angeli Noonan,www.angelinoonan.it,"Italian patients...... association for the Noonan Syndrome, providing web content, social networks about Noonan Syndrome and related syndromes (CFC, Costello, Leopard).",,true,,,"undergrad-edu: 
last-name: petroni
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: vice-president, treasurer
first-name: angelo
email: 
",,"Patient/Consumer Communities, Content, "
Children......s Rare Disease Network,http:www.crdnetwork.org/,"The Children’s Rare Disease Network is working to create greater public awareness for rare disease, while connecting, educating and empowering the millions of families and caregivers affected, through an online community and collaborative portal.",,true,,,"undergrad-edu: 
last-name: Boice
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Nicole
email: 
",,"Patient/Consumer Communities, Content, "
CarePages,www.carepages.com,"CarePages websites are free patient blogs that connect friends and family during a health challenge, mostly marketed through hospitals. Carepages was purchased by Revolution Health and is now part of EveryDay Health.",,true,,,"undergrad-edu: 
last-name: Langshur
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Executive Officer
first-name: Eric
email: 
",,"Patient/Consumer Communities, "
PEERtrainer,www.peertrainer.com,"PEERtrainer is a social networkingwebsite  dedicated to helping people  improve their eating, their movement and their health through group and peer support, articles, forums and blogs.  PEERtrainer also offers a variety of coaching programs for fitness and health. ",,true,,,"undergrad-edu: 
last-name: Wicks
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Habib
email: 
",,"Patient/Consumer Communities, Content, Wellness, Self Management tools , "
CareFlash,www.careflash.com,"CareFlash offers free personal websites for sharinghealth updates, information andwell wishes with friends and familyduring illness, injury, pregnancyand childbirth. ",,true,,,"undergrad-edu: 
last-name: Drayer
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Jay
email: 
",,"Patient/Consumer Communities, "
Inspire,www.inspire.com,"Inspire provides communities for several patient organizations including  Discovery Health, and a breast cancer community in collaboration with 10 leading breast cancer patient advocacy groups.",,true,,,"undergrad-edu: 
last-name: Loew
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Brian
email: 

undergrad-edu: 
last-name: Lewkowicz
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder and Vice President for Partnerships
first-name: Amir
email: 
",,"Patient/Consumer Communities, "
Caring.com,www.caring.com,"Caring.com provides practical information, easy-to-use tools, and personal support about caring for aging parents. It also provides a community and reliable advice on products and services. Caring.com bought the Gilbert Guides, a directory of nursing homes and services in 2009.",,true,,,"undergrad-edu: 
last-name: Cohen
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO and Co Founder
first-name: Andy
email: 
",,"Content, Patient/Consumer Communities, "
Revolution Health,www.revolutionhealth.com,"Revolution Health was one of the first major Health 2.0 sites, founded by Steve Case. It was sold to EveryDay Health in 2008 (was a fire sale!)",,true,,,,,"Patient/Consumer Communities, Content, Provider Search, "
Takes All Types,www.takesalltypes.org,"Takes All Types, Inc. (TAT) is a non-profit effort to recruit a new generation of blood donor volunteers and alert them when their particular type of blood is needed in their local community.",,true,,,"undergrad-edu: 
last-name: Bergman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Executive Director
first-name: Ben
email: 
",,"Patient/Consumer Communities, "
HealthTalker,www.healthtalker.com,HealthTalker uses word of mouth to help improve the patient-physician dialogue by connecting patients with people in their social network to share their experiences using prescription drugs.,,true,,,"undergrad-edu: 
last-name: Levitt
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Andrew
email: 
",,"Patient/Consumer Communities, Provider Search, Patient-provider communication, "
RealSelf.com,www.realself.com,"RealSelf.com is a health and beauty community that serves consumers interested in discretionary health purchases, primarily aesthetic services like cosmetic treatments and plastic surgery.",,true,,,"undergrad-edu: 
last-name: Seery
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: President & Founder
first-name: Thomas
email: 
",,"Patient/Consumer Communities, Content, Provider Search, "
iMedix,www.imedix.com,"iMedix is a Health community site that helps patients find and share health information. Members of the iMedix community can connect to each other via a search tool that leeds them into a society network.  It is easy to share experiences and rank medical content in order to make health information personal, organized and accessible to everyone. ",,true,,,"undergrad-edu: 
last-name: Amirav
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Iri
email: 

undergrad-edu: 
last-name: Amirav
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Iri
email: 

undergrad-edu: 
last-name: Leitersdorf
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Amir 
email: 

undergrad-edu: 
last-name: Amirav
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Co-founder
first-name: Iri
email: 
",,"Patient/Consumer Communities, Search, Content, Clinical trials search , "
Starbright World,www.starbrightworld.org,"Starlight Children......s Foundation has created a menu of outpatient, hospital-based and Web offerings that provide ongoing support for children and families from diagnosis through the entire course of medical treatment. Programs include web-based disease management and intervention tools, educational gaming that teach children with asthma, sickle cell, kidney disease and cystic fibrosis to manage and cope with their disease, and social networking sites for seriously ill teens called Starbright World, since 1995. The network mimics a My Space type of environment for sick teens. ",,true,,,"undergrad-edu: 
last-name: Ford
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP Technology and Strategic Initiatives
first-name: Joan
email: 
",,"Patient/Consumer Communities, "
Trusera,www.trusera.com,Trusera is an online community that opened in 2007 and closed in 2009.,,false,,,"undergrad-edu: 
last-name: Schorsch
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder and CEO
first-name: Keith
email: 
",,"Patient/Consumer Communities, Out of business, "
iWantGreatCare,www.iwantgreatcare.org,iWantGreatCare is a service to capture and understand the true patient experience across all aspects of healthcare in the UK.,,true,,,"undergrad-edu: 
last-name: Bacon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Neil
email: 

undergrad-edu: 
last-name: Bacon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Neil
email: 

undergrad-edu: 
last-name: Bacon
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Dr
first-name: Neil
email: 
",,"Patient/Consumer Communities, Provider Search, "
Intent,www.intent.com,"Intent is a wellness destination for capturing and sharing peoples intentions – personal, social, spiritual and environmental.",,true,,,"undergrad-edu: 
last-name: Fairchild
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Jara
email: 

undergrad-edu: 
last-name: Fairchild
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Jara
email: 

undergrad-edu: 
last-name: Fairchild
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Jara
email: 
",,"Patient/Consumer Communities, Wellness, Other, "
My Health Village,www.myhealthvillage.com,"MyHealthVillage is an online community and health management tools provider, with the goal of motivating employees, consumers and patients to achieve real health improvement. From MyHealthVillage.com, users can also access online tools and a Personal Health Guide, a live qualified health guide who can support users at every step towards their health goal. MyHealthVillage is owned by Longitude Health.",,true,,,"undergrad-edu: 
last-name: Swaney
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Chief Medical Officer
first-name: Jan
email: 

undergrad-edu: 
last-name: Korman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: 
first-name: Tracey
email: 
",,"Patient/Consumer Communities, Self Management tools , Coaching and Advisory Services, "
My Bridge 4 Life,www.mybridge4life.com,"My Bridge 4 Life is a wellness network designed to help patients, caregivers, supporters and individuals create a personalized wellness plan.My Bridge 4 Life provides tools that reduce the overwhelming nature of a life threatening diagnosis into manageable phases, including appointment scheduling tools, customizable online communities so that users can gather their strongest allies, including their medical professionals, and unite them as an integrated part of their wellness journey.  4 Life is  a database of real world advice from people who have been through what the new users are facing now.",,true,,,"undergrad-edu: 
last-name: Holzberg
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Founder
first-name: Roger
email: 
",,"Content, Self Management tools , Patient/Consumer Communities, "
HealthCentral,www.healthcentral.com,"HealthCentral is comprised of highly targeted condition and wellness specific interactive health sites where consumers and vetted experts share real-life, health-related experiences and information.",,true,,,"undergrad-edu: 
last-name: Schroeder
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO
first-name: Chris
email: 

undergrad-edu: 
last-name: Allman
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: GM
first-name: Bill
email: 

undergrad-edu: 
last-name: Fitzgerald
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: Director Software Development
first-name: Greg
email: 
",,"Patient/Consumer Communities, Search, Content, Self Management tools , Wellness, "
MedHelp,www.medhelp.org,"MedHelp is a provider of online health communities. The MedHelp site connects people with leading medical experts and others who have similar experiences.MedHelp has long-standing partnerships with the Cleveland Clinic, National Jewish, Partners Health, and Mount Sinai. MedHelp helps patients actively manage their health, through its condition-specific health applications and Personal Health Records (PHRs, tracking over 1500 symptoms and treatments on a daily basis as it relates to the progression of users...... medical conditions.",,true,,,"undergrad-edu: 
last-name: de Souza
founder: 
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: CEO 
first-name: John
email: 

undergrad-edu: 
last-name: Hassounah
founder: false
other-edu: 
personnel: 
grad-edu: 
previous-title: 
current-title: VP, Engineering
first-name: Khaled 
email: 
",,"Patient/Consumer Communities, Content, Self Management tools , "
